model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,False,0.018413662910461426,5120,5120,3.464467763900757,7.648033864989691,1.1707724332809448,7.933841705322266,4.1006975969134976,2.207563870179736,model.layers.0.self_attn.q_proj,5049,12609.4921875,5091,161.27381896972656,78.18685182786541,161.27381896972656,1.0482849575055297e-05,26219520
CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,False,0.040637195110321045,1024,5120,3.4284863471984863,5.897060188923447,1.0046285390853882,6.308026313781738,3.666809279578649,1.720018571385621,model.layers.0.self_attn.k_proj,1024,4643.11328125,1024,52.48299026489258,88.46891645874675,52.48299026489258,0.008449901826679707,5243904
CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,False,0.07006943225860596,1024,5120,2.9827146530151367,2.9883219382117194,1.0313657522201538,3.462977886199951,2.964411509356633,1.0018799267945107,model.layers.0.self_attn.v_proj,1024,921.3221435546875,1024,10.043380737304688,91.73426435309472,10.043380737304688,0.08063364773988724,5243904
CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,False,0.03955566883087158,5120,5120,3.659017324447632,6.949983500841531,1.1877161264419556,7.3263983726501465,3.7877274538788184,1.8994125702563343,model.layers.0.self_attn.o_proj,5085,6133.76953125,5099,79.32545471191406,77.32410174673421,79.32545471191406,1.0618527994665783e-05,26214400
CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,False,0.027641236782073975,13824,5120,3.894221305847168,9.007798553521262,1.1772911548614502,9.174344062805176,4.382816038021405,2.3131193237518537,model.layers.0.mlp.gate_proj,5120,24144.37890625,5120,205.6455535888672,117.40773619895606,205.6455535888672,0.010671774856746197,70778880
CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,False,0.03317016363143921,13824,5120,10.31093978881836,19.704859233596515,1.1882295608520508,19.705554962158203,4.328520474614036,1.9110633596139646,model.layers.0.mlp.up_proj,5120,21306.91015625,5120,81.48231506347656,261.49122223210566,81.48231506347656,0.008027476258575916,70778880
CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,False,0.013857603073120117,5120,13824,4.377126216888428,8.290710008712605,1.2394746541976929,8.66998291015625,4.4448957934275635,1.8940989128264685,model.layers.0.mlp.down_proj,5120,27854.52734375,5120,78.36080932617188,355.4650287978434,78.36080932617188,0.0004684095911215991,70778880
CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,False,0.0556178092956543,5120,5120,1.5327882766723633,3.2637815896844597,0.7751456499099731,3.6874186992645264,2.945089985848274,2.1293101202274527,model.layers.1.self_attn.q_proj,2487,881.2314453125,3207,134.6821746826172,6.543044373831576,134.6821746826172,1.001809687295463e-05,26219520
CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,False,0.030082345008850098,1024,5120,1.4575681686401367,2.4393813776778535,0.6592943072319031,3.194305419921875,2.6874842721862735,1.673596769030512,model.layers.1.self_attn.k_proj,1013,486.94989013671875,1020,47.16249465942383,10.32493920546712,47.16249465942383,1.020528725348413e-05,5243904
CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,False,0.03806304931640625,1024,5120,3.729621410369873,3.4439013769544657,0.9579194188117981,4.019981384277344,2.735721868045796,0.9233916792141452,model.layers.1.self_attn.v_proj,1024,544.154052734375,1024,8.38284969329834,64.91277699627591,8.38284969329834,0.00015574389544781297,5243904
