model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,False,0.04426366090774536,3584,3584,3.318995714187622,9.644289865482046,1.0383015871047974,9.651229858398438,3.9885330911464894,2.905785573707088,model.layers.0.self_attn.q_proj,3492,9739.419921875,3559,804.9808959960938,12.098945416367075,804.9808959960938,1.0485856364539359e-05,12848640
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,False,0.03083789348602295,512,3584,8.920066833496094,11.05415299610001,0.9872311949729919,11.439489364624023,3.3738200712984927,1.2392455350883835,model.layers.0.self_attn.k_proj,512,2364.939697265625,512,17.34784507751465,136.3246954707322,17.34784507751465,0.02773178368806839,1835520
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,False,0.0936320424079895,512,3584,8.409099578857422,4.137373274463177,1.013552188873291,4.249748229980469,2.6498186729807007,0.4920114496997476,model.layers.0.self_attn.v_proj,512,446.49713134765625,512,3.1046414375305176,143.81600591622825,3.1046414375305176,0.10082294046878815,1835520
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,False,0.04446929693222046,3584,3584,4.362781047821045,9.34380296187608,1.1124008893966675,9.428391456604004,3.974873322275318,2.1417079746742655,model.layers.0.self_attn.o_proj,3570,9437.85546875,3573,138.58236694335938,68.10285952618625,138.58236694335938,1.4152046787785366e-05,12845056
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,False,0.01578417420387268,18944,3584,3.954760789871216,13.200286978672128,1.0682142972946167,13.200342178344727,4.487998795209225,3.3378218506869506,model.layers.0.mlp.gate_proj,3584,30760.8828125,3584,2176.816650390625,14.131131717951545,2176.816650390625,0.0719558522105217,67895296
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,False,0.026850521564483643,18944,3584,6.611103534698486,14.053381004951724,1.109757661819458,14.07695198059082,4.4014709517444865,2.1257239326524417,model.layers.0.mlp.up_proj,3584,25204.0859375,3584,133.57461547851562,188.6891895380666,133.57461547851562,0.07954026013612747,67895296
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,False,0.010262459516525269,3584,18944,5.012577533721924,10.47088859357939,1.1593527793884277,10.59524917602539,4.470420311282714,2.0889230187736523,model.layers.0.mlp.down_proj,3584,29540.66796875,3584,122.72216796875,240.71175124833388,122.72216796875,0.8689476251602173,67895296
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,False,0.038604944944381714,3584,3584,2.3753490447998047,5.806112458845025,0.967426598072052,6.072331428527832,3.7161260751635212,2.4443196975854833,model.layers.1.self_attn.q_proj,3356,5201.4697265625,3473,278.176025390625,18.698483161007154,278.176025390625,1.0257466783514246e-05,12848640
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,False,0.074490487575531,512,3584,3.0864109992980957,5.307108598517203,0.862460196018219,5.866318225860596,3.17170860329881,1.7195080628354853,model.layers.1.self_attn.k_proj,512,1484.93896484375,512,52.42133331298828,28.326997254681253,52.42133331298828,0.003377107437700033,1835520
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,False,0.04097706079483032,512,3584,9.322111129760742,7.82955917338294,0.9965224266052246,7.848508834838867,2.8669796175454874,0.8398912075170563,model.layers.1.self_attn.v_proj,512,736.1725463867188,512,6.916576862335205,106.43596695868554,6.916576862335205,0.11271962523460388,1835520
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,False,0.041123270988464355,3584,3584,3.864570379257202,7.586016952483247,1.0969487428665161,7.99370002746582,4.076899031035674,1.9629651443794724,model.layers.1.self_attn.o_proj,3573,11937.10546875,3576,91.82588958740234,129.99716662029115,91.82588958740234,1.109586355596548e-05,12845056
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,False,0.03619137406349182,18944,3584,2.7263944149017334,8.087697241311785,1.0946121215820312,8.126788139343262,4.420531518970029,2.966444325555621,model.layers.1.mlp.gate_proj,3584,26334.890625,3584,925.6447143554688,28.45032247965368,925.6447143554688,0.0682365745306015,67895296
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,False,0.03989589214324951,18944,3584,3.96449613571167,8.209752863653648,1.1168737411499023,8.760337829589844,4.274104425446555,2.0708187327265257,model.layers.1.mlp.up_proj,3584,18797.6875,3584,117.71145629882812,159.69293126642881,117.71145629882812,0.05020207539200783,67895296
