model_id,is_adapter,source_model,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.020193025469779968,4096,4096,1.5535030364990234,4.151829103106181,0.7725628614425659,4.572744369506836,3.4777703026828974,2.6725593742402642,model.layers.0.self_attn.q_proj,3039,3004.48681640625,3662,470.4997253417969,6.385735537302653,470.4997253417969,1.0036499588750303e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.031205415725708008,4096,4096,1.459712028503418,3.699061627781371,0.7970373630523682,4.440392971038818,3.5759829539668484,2.5341036831585644,model.layers.0.self_attn.k_proj,3112,3766.89013671875,3638,342.06109619140625,11.012331360275244,342.06109619140625,1.0009775905928109e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.0707889199256897,4096,4096,3.2246816158294678,3.9040692600310525,1.0861104726791382,4.84860372543335,3.307253095834212,1.2106836348948606,model.layers.0.self_attn.v_proj,4066,2028.86474609375,4066,16.243650436401367,124.902019656071,16.243650436401367,1.0321820809622295e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.05255156755447388,4096,4096,2.2418525218963623,2.8655563400373443,1.0784099102020264,3.360189437866211,2.9321999354631934,1.2782091203811197,model.layers.0.self_attn.o_proj,4054,855.46044921875,4054,18.976194381713867,45.08071702949575,18.976194381713867,1.0252421816403512e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.01377725601196289,11008,4096,2.69614839553833,5.754310129819444,1.1415623426437378,6.402502536773682,4.077427951657826,2.134270554002834,model.layers.0.mlp.gate_proj,4096,11951.65234375,4096,136.22930908203125,87.73187226952201,136.22930908203125,0.03298456221818924,45088768
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.027238130569458008,11008,4096,2.9644904136657715,6.056941509289895,1.1516107320785522,6.658549785614014,4.062760223123617,2.0431644782416822,model.layers.0.mlp.up_proj,4096,11554.7412109375,4096,110.4496841430664,104.61543009910781,110.4496841430664,0.024058636277914047,45088768
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.016950488090515137,4096,11008,4.240389347076416,8.02324751808326,1.177167296409607,8.105043411254883,4.098763880942779,1.8921016117576508,model.layers.0.mlp.down_proj,4096,12553.47265625,4096,78.00125885009766,160.93935971437574,78.00125885009766,0.15375813841819763,45088768
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.03278079628944397,4096,4096,2.9148318767547607,7.355209396549363,0.9898659586906433,7.7662248611450195,4.062861590246781,2.523373459445734,model.layers.1.self_attn.q_proj,3859,11557.4384765625,3984,333.7132568359375,34.632841937845015,333.7132568359375,1.0215431757387705e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.03212803602218628,4096,4096,3.1081933975219727,8.080854315547418,0.9867222309112549,8.33761978149414,4.060961891950626,2.5998556981653493,model.layers.1.self_attn.k_proj,3809,11506.994140625,3970,397.97491455078125,28.913867984904655,397.97491455078125,1.0035387276730035e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.026829034090042114,4096,4096,4.286682605743408,4.408049069795242,1.1252552270889282,4.851848125457764,3.2247222548891226,1.0283124446604055,model.layers.1.self_attn.v_proj,4073,1677.730712890625,4073,10.673637390136719,157.18453340385915,10.673637390136719,1.0074460078612901e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.021426886320114136,4096,4096,3.7649898529052734,4.394313078532418,1.1207691431045532,4.519932270050049,3.053807975614586,1.1671513736329262,model.layers.1.self_attn.o_proj,4063,1131.8997802734375,4063,14.69438362121582,77.0294154182279,14.69438362121582,1.0028471479017753e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.012166917324066162,11008,4096,2.6186633110046387,6.003651332066593,1.1406201124191284,6.422661781311035,4.168329934135652,2.2926396481888003,model.layers.1.mlp.gate_proj,4096,14734.314453125,4096,196.17318725585938,75.10870705234417,196.17318725585938,0.01721414364874363,45088768
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.06193387508392334,11008,4096,4.497043609619141,7.751019764611406,1.1721810102462769,7.959702014923096,4.116272212813544,1.723581187434348,model.layers.1.mlp.up_proj,4096,13069.8984375,4096,52.91529083251953,246.99662860905576,52.91529083251953,0.01576845720410347,45088768
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.021230041980743408,4096,11008,4.8522796630859375,7.958195008816094,1.1886065006256104,8.167322158813477,4.1287953080853015,1.6400940509176807,model.layers.1.mlp.down_proj,4096,13452.26171875,4096,43.66103744506836,308.10678137629714,43.66103744506836,0.20636947453022003,45088768
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.02257344126701355,4096,4096,3.065073013305664,7.403089203476773,1.072704792022705,7.607320308685303,4.068016726271721,2.4153059882552625,model.layers.2.self_attn.q_proj,3991,11695.4443359375,4047,260.19921875,44.948037861614445,260.19921875,1.013461223919876e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.027806520462036133,4096,4096,3.3196909427642822,8.505608342673344,1.0712859630584717,8.561060905456543,4.111804465729497,2.5621687347770954,model.layers.2.self_attn.k_proj,3948,12936.1328125,4035,364.89569091796875,35.45159105594409,364.89569091796875,1.047074965754291e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.023696720600128174,4096,4096,4.121099472045898,4.476470771168541,1.1454355716705322,5.395663738250732,3.5320249967692505,1.0862321575912413,model.layers.2.self_attn.v_proj,4083,3404.27783203125,4083,12.19641399383545,279.1212100336957,12.19641399383545,1.1292874660284724e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.014364957809448242,4096,4096,4.427761077880859,6.877151069487835,1.1525523662567139,6.884759426116943,3.505218394722116,1.553189286531978,model.layers.2.self_attn.o_proj,4083,3200.504150390625,4083,35.74285888671875,89.54247785646103,35.74285888671875,1.2103750123060308e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.015251219272613525,11008,4096,2.86425518989563,5.8593424463722465,1.161514163017273,6.5044846534729,4.192398318560372,2.0456775175070048,model.layers.2.mlp.gate_proj,4096,15573.93359375,4096,111.09065246582031,140.19121544489707,111.09065246582031,0.019667649641633034,45088768
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.06593358516693115,11008,4096,3.9365170001983643,5.14514861946821,1.1814807653427124,6.765558242797852,4.131710807336066,1.307030712482365,model.layers.2.mlp.up_proj,4096,13542.873046875,4096,20.278261184692383,667.8517908181506,20.278261184692383,0.01586989499628544,45088768
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.018636375665664673,4096,11008,5.35381555557251,8.034383807577807,1.191043734550476,8.348207473754883,4.137154805453102,1.5006837131726052,model.layers.2.mlp.down_proj,4096,13713.705078125,4096,31.67259979248047,432.983246338396,31.67259979248047,0.1421211212873459,45088768
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.02664816379547119,4096,4096,4.1207475662231445,9.263583057636778,1.1073317527770996,9.309422492980957,4.020095967430396,2.248034588085016,model.layers.3.self_attn.q_proj,4058,10473.599609375,4076,177.02499389648438,59.164524617916115,177.02499389648438,1.0414072676212527e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.0379599928855896,4096,4096,3.1623752117156982,7.477673945731552,1.1117805242538452,7.540120601654053,4.054358024068191,2.364575183244829,model.layers.3.self_attn.k_proj,4045,11333.3427734375,4072,231.5128936767578,48.95339777170814,231.5128936767578,1.1321971214783844e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.04675737023353577,4096,4096,4.996415615081787,4.816495123275211,1.151413917541504,5.590332984924316,3.486269935573487,0.9639900869608441,model.layers.3.self_attn.v_proj,4084,3063.8671875,4084,9.204285621643066,332.87397995294566,9.204285621643066,1.2919586879434064e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.014324069023132324,4096,4096,4.268837928771973,6.828854689060615,1.149286150932312,6.834484100341797,3.467102955272309,1.599698747763209,model.layers.3.self_attn.o_proj,4082,2931.588134765625,4082,39.783111572265625,73.68926207394372,39.783111572265625,1.3568904250860214e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.016525328159332275,11008,4096,3.925389528274536,7.773852718940796,1.1811156272888184,7.956998825073242,4.204985482018341,1.980402877968116,model.layers.3.mlp.gate_proj,4096,16031.91796875,4096,95.587890625,167.7191311987904,95.587890625,0.048288457095623016,45088768
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.029164016246795654,11008,4096,9.121180534362793,11.556944506803259,1.189842700958252,11.979269027709961,4.137945121707574,1.2670448154451126,model.layers.3.mlp.up_proj,4096,13738.68359375,4096,18.49459457397461,742.8485949663868,18.49459457397461,0.03854360058903694,45088768
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.03449085354804993,4096,11008,4.150666236877441,6.636008224052228,1.1838198900222778,7.202459812164307,4.139741319147173,1.5987814594903484,model.layers.3.mlp.down_proj,4096,13795.623046875,4096,39.69917297363281,347.5040413571765,39.69917297363281,0.13172493875026703,45088768
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.0306396484375,4096,4096,2.7673778533935547,6.289197967508044,1.1011524200439453,6.646482467651367,4.056683510713075,2.2726198953264674,model.layers.4.self_attn.q_proj,4062,11394.19140625,4079,187.33541870117188,60.822408732143955,187.33541870117188,1.0576663044048473e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.03807997703552246,4096,4096,2.919285774230957,6.973026485393294,1.1057907342910767,7.111094951629639,4.07475156894551,2.388607017149678,model.layers.4.self_attn.k_proj,4051,11878.2255859375,4074,244.684814453125,48.5450051834461,244.684814453125,1.0895138984778896e-05,16777216
FDeRubeis/araft_trained_sft,True,meta-llama/Llama-2-7b-chat-hf,0.04967451095581055,4096,4096,4.913575172424316,4.794716449068497,1.1512231826782227,5.778295993804932,3.533014833537853,0.9758101343350009,model.layers.4.self_attn.v_proj,4084,3412.045654296875,4084,9.458235740661621,360.7486372567614,9.458235740661621,1.1522251952555962e-05,16777216
