model_id,is_adapter,source_model,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.057679593563079834,4096,4096,2.977938652038574,7.844615356684968,0.9450803399085999,8.212306022644043,3.938110955038409,2.634243439271278,model.layers.0.self_attn.q_proj,3880,8671.833984375,4028,430.76800537109375,20.131100444436385,430.76800537109375,1.0318712156731635e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.026818737387657166,4096,4096,2.3602662086486816,5.960070822351504,0.9363867044448853,6.535019397735596,3.8496255438921185,2.5251688985386997,model.layers.0.self_attn.k_proj,3843,7073.3564453125,4001,335.0957336425781,21.10846464209875,335.0957336425781,1.0142832252313383e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.027705609798431396,4096,4096,7.872885227203369,2.9436997810678402,1.180043339729309,3.6449191570281982,3.2558045620766287,0.3739035558268275,model.layers.0.self_attn.v_proj,4081,1802.20654296875,4081,2.365394353866577,761.9053203635091,2.365394353866577,1.1375508620403707e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.05997157096862793,4096,4096,8.048200607299805,9.968413966441656,1.1732436418533325,9.968414306640625,3.2401980530789287,1.2385891521391994,model.layers.0.self_attn.o_proj,4081,1738.593505859375,4081,17.321645736694336,100.37115019482948,17.321645736694336,1.0467261745361611e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.018278419971466064,11008,4096,4.4021711349487305,7.305659769568208,1.1599518060684204,7.370672225952148,3.8208747743592513,1.6595583282914086,model.layers.0.mlp.gate_proj,4096,6620.255859375,4096,45.662357330322266,144.98278771470245,45.662357330322266,0.010294588282704353,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.0392802357673645,11008,4096,5.783510684967041,6.060350838825373,1.1652432680130005,7.140762805938721,3.782448023358927,1.0478671466066307,model.layers.0.mlp.up_proj,4096,6059.65673828125,4096,11.165216445922852,542.7263114540001,11.165216445922852,0.009770609438419342,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.026556044816970825,4096,11008,3.9486429691314697,6.70638055061491,1.1890062093734741,6.722801685333252,3.80626942667738,1.6984013502973208,model.layers.0.mlp.down_proj,4096,6401.318359375,4096,49.934574127197266,128.19411142005657,49.934574127197266,0.09358663111925125,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.05424344539642334,4096,4096,2.0688533782958984,4.619800874113048,0.9475027918815613,5.475700855255127,3.7330387219466052,2.233024786859642,model.layers.1.self_attn.q_proj,3908,5408.025390625,3999,171.01129150390625,31.623791289252203,171.01129150390625,1.0031945748778526e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.05728799104690552,4096,4096,2.531026601791382,6.009265078141336,0.9468070864677429,6.4519734382629395,3.7495528203546264,2.374240189292426,model.layers.1.self_attn.k_proj,3835,5617.6259765625,3975,236.7228546142578,23.730813764122928,236.7228546142578,1.0059194210043643e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.05245494842529297,4096,4096,8.680142402648926,5.5323224035382745,1.141855239868164,5.699739456176758,3.0837026027726373,0.6373538758822633,model.layers.1.self_attn.v_proj,4074,1212.5582275390625,4074,4.338642597198486,279.4787080000611,4.338642597198486,1.0352272511227056e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.020179152488708496,4096,4096,4.54446268081665,5.058220196147714,1.1398742198944092,5.0659050941467285,3.014864227670671,1.1130513223267882,model.layers.1.self_attn.o_proj,4073,1034.818603515625,4073,12.973325729370117,79.76509841057292,12.973325729370117,1.031159445119556e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.022214770317077637,11008,4096,2.967653274536133,5.339038159610836,1.1687575578689575,5.70829439163208,3.837098209385168,1.7990774749268406,model.layers.1.mlp.gate_proj,4096,6872.23828125,4096,62.961849212646484,109.14924461700286,62.961849212646484,0.00047533283941447735,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.012633085250854492,11008,4096,5.409236907958984,5.853452360684423,1.1835155487060547,6.662319660186768,3.7996928264954133,1.0821216486325147,model.layers.1.mlp.up_proj,4096,6305.1123046875,4096,12.081521987915039,521.8806298572653,12.081521987915039,0.000408437626902014,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.0330507755279541,4096,11008,4.147988319396973,6.775913131985173,1.190849781036377,6.798624038696289,3.8126022705690326,1.6335419992142706,model.layers.1.mlp.down_proj,4096,6495.345703125,4096,43.00728225708008,151.0289737514326,43.00728225708008,0.10862252861261368,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.04306277632713318,4096,4096,2.614962339401245,5.319655923762636,1.0415889024734497,6.114545822143555,3.805996770377752,2.0343145457998038,model.layers.2.self_attn.q_proj,4027,6397.30078125,4052,108.22174835205078,59.11289439197803,108.22174835205078,1.0096639925905038e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.033635616302490234,4096,4096,2.9148640632629395,6.710808289891865,1.0360889434814453,6.95409631729126,3.8431320008959404,2.302271441907206,model.layers.2.self_attn.k_proj,3971,6968.3828125,4034,200.57252502441406,34.742459425346496,200.57252502441406,1.0222526725556236e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.05522164702415466,4096,4096,4.791210174560547,2.352568576297215,1.1475481986999512,3.428403377532959,3.067375888700245,0.4910176115396554,model.layers.2.self_attn.v_proj,4075,1167.8199462890625,4075,3.0975449085235596,377.0146941455329,3.0975449085235596,1.0453715731273405e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.023504525423049927,4096,4096,4.946613311767578,6.029429049560944,1.1464194059371948,6.030139923095703,3.048078564260337,1.218900421267504,model.layers.2.self_attn.o_proj,4074,1117.0653076171875,4074,16.553903579711914,67.48047686989293,16.553903579711914,1.0496053619135637e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.038702428340911865,11008,4096,2.5516648292541504,4.495360908724111,1.1629263162612915,5.3054938316345215,3.8503358438730424,1.761736438573753,model.layers.2.mlp.gate_proj,4096,7084.9345703125,4096,57.774532318115234,122.63075590645698,57.774532318115234,0.03491180017590523,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.042728573083877563,11008,4096,6.130427837371826,5.700723511998765,1.1879369020462036,6.743116855621338,3.8015399014930766,0.9299063072313596,model.layers.2.mlp.up_proj,4096,6331.9853515625,4096,8.509544372558594,744.1039231174066,8.509544372558594,0.042620543390512466,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.03995281457901001,4096,11008,6.152194499969482,8.89549354223653,1.192919135093689,8.900832176208496,3.8079803193826547,1.4459057726930862,model.layers.2.mlp.down_proj,4096,6426.5859375,4096,27.91938018798828,230.18368940242095,27.91938018798828,0.1149890348315239,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.02102869749069214,4096,4096,3.145820140838623,5.269368422021204,1.1209287643432617,5.632112503051758,3.617421537762643,1.6750380460773826,model.layers.3.self_attn.q_proj,4073,4144.01708984375,4074,47.319271087646484,87.57567465838707,47.319271087646484,1.0504311831027735e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.01802736520767212,4096,4096,3.6728034019470215,6.382316383476805,1.122240662574768,6.521790027618408,3.6426610760886353,1.7377233913727645,model.layers.3.self_attn.k_proj,4068,4391.9873046875,4071,54.66676712036133,80.34108355113703,54.66676712036133,1.1182524758623913e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.018647611141204834,4096,4096,5.036371231079102,2.898063032499065,1.1544443368911743,3.7483768463134766,3.131040759093307,0.5754268102032107,model.layers.3.self_attn.v_proj,4079,1352.199462890625,4079,3.7620694637298584,359.42969047413686,3.7620694637298584,1.1414633263484575e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.01532810926437378,4096,4096,4.7683939933776855,6.005102218689035,1.1501563787460327,6.006278991699219,3.1009379339754246,1.2593552938429335,model.layers.3.self_attn.o_proj,4078,1261.647216796875,4078,18.170015335083008,69.4356715462349,18.170015335083008,1.0976226803904865e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.04618293046951294,11008,4096,3.2116215229034424,5.711127697745995,1.170750379562378,6.084726810455322,3.861934686074695,1.7782692191522282,model.layers.3.mlp.gate_proj,4096,7276.70361328125,4096,60.016300201416016,121.2454547991208,60.016300201416016,0.02502359449863434,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.06003791093826294,11008,4096,6.543691635131836,5.595751834566316,1.1894471645355225,6.850143909454346,3.8024957570806976,0.8551368472994341,model.layers.3.mlp.up_proj,4096,6345.93701171875,4096,7.16369104385376,885.8473896865472,7.16369104385376,0.023404531180858612,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.021719247102737427,4096,11008,4.775633335113525,6.426787155371153,1.191840648651123,6.525699138641357,3.808512366435106,1.3457455177970394,model.layers.3.mlp.down_proj,4096,6434.4638671875,4096,22.168970108032227,290.24640458404406,22.168970108032227,0.08999650180339813,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.01804041862487793,4096,4096,3.021252393722534,4.862301867548904,1.1276973485946655,5.356354236602783,3.6211866308866325,1.6093663269085516,model.layers.4.self_attn.q_proj,4080,4180.099609375,4080,40.67863082885742,102.75910285578337,40.67863082885742,1.1491002624097746e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.01664876937866211,4096,4096,3.5582704544067383,5.668374602856718,1.1336479187011719,5.935343265533447,3.629049249970793,1.5930139868476616,model.layers.4.self_attn.k_proj,4079,4256.466796875,4079,39.17544937133789,108.65138409845983,39.17544937133789,1.0044840564660262e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.02544921636581421,4096,4096,4.312132835388184,2.5008477147124415,1.1546986103057861,3.6318564414978027,3.169516438005138,0.5799560936965691,model.layers.4.self_attn.v_proj,4079,1477.46240234375,4079,3.8015096187591553,388.651496514168,3.8015096187591553,1.1312555216136388e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.018597811460494995,4096,4096,4.063000679016113,5.345096411300004,1.1495791673660278,5.350480079650879,3.143534755270929,1.3155539054929126,model.layers.4.self_attn.o_proj,4078,1391.6651611328125,4078,20.680160522460938,67.29469820223642,20.680160522460938,1.0238384675176349e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.021904408931732178,11008,4096,3.1124091148376465,5.4566738821389595,1.1768360137939453,5.848113536834717,3.8703643212479433,1.7531994287401378,model.layers.4.mlp.gate_proj,4096,7419.32373046875,4096,56.64993667602539,130.96790862978412,56.64993667602539,0.024154484272003174,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.04778003692626953,11008,4096,7.688745021820068,6.212040348340722,1.1911951303482056,7.4530229568481445,3.8031017400438802,0.8079394401441884,model.layers.4.mlp.up_proj,4096,6354.7978515625,4096,6.425981044769287,988.9225952098427,6.425981044769287,0.02389075607061386,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.00877535343170166,4096,11008,5.879823207855225,7.732575549541983,1.1905122995376587,7.761875152587891,3.8072274683350575,1.315103409777959,model.layers.4.mlp.down_proj,4096,6415.455078125,4096,20.658720016479492,310.54465489669167,20.658720016479492,0.05593328922986984,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.009546875953674316,4096,4096,3.6539194583892822,5.7794856190633155,1.1363219022750854,5.993704795837402,3.6018938122110717,1.5817222259220305,model.layers.5.self_attn.q_proj,4082,3998.4697265625,4082,38.170005798339844,104.75423419339403,38.170005798339844,1.0076905709865969e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.013004183769226074,4096,4096,4.10164737701416,6.1766178840724715,1.1394561529159546,6.346280574798584,3.613553410004677,1.5058871025058251,model.layers.5.self_attn.k_proj,4080,4107.271484375,4080,32.054359436035156,128.134567548327,32.054359436035156,1.0684919288905803e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.02523702383041382,4096,4096,4.464735507965088,2.816201486328946,1.1553003787994385,3.8196635246276855,3.196275790863823,0.630765580918476,model.layers.5.self_attn.v_proj,4079,1571.3603515625,4079,4.273321628570557,367.71403796445026,4.273321628570557,1.034170691127656e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.026318490505218506,4096,4096,4.844155311584473,6.126688664710809,1.151910424232483,6.128380298614502,3.166596316890242,1.264758925061557,model.layers.5.self_attn.o_proj,4079,1467.5615234375,4079,18.397504806518555,79.76959587027898,18.397504806518555,1.159389557869872e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.027517467737197876,11008,4096,3.1652419567108154,5.67644580627508,1.1798841953277588,5.914153099060059,3.877256301904627,1.7933686852090764,model.layers.5.mlp.gate_proj,4096,7538.0029296875,4096,62.13963317871094,121.30748998804877,62.13963317871094,0.0319070890545845,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.023342490196228027,11008,4096,7.667316436767578,7.075241550256499,1.1916762590408325,7.613404750823975,3.806483508224631,0.9227793855393963,model.layers.5.mlp.up_proj,4096,6404.474609375,4096,8.371039390563965,765.0751968261285,8.371039390563965,0.03190770000219345,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.03395989537239075,4096,11008,6.6990509033203125,8.824642170605909,1.189310073852539,8.834784507751465,3.8078158973657517,1.317297375100116,model.layers.5.mlp.down_proj,4096,6424.1533203125,4096,20.763347625732422,309.3987268387744,20.763347625732422,0.06561708450317383,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.014730274677276611,4096,4096,3.22019624710083,5.053046977614669,1.1320770978927612,5.498526573181152,3.6170687679258786,1.5691736123734603,model.layers.6.self_attn.q_proj,4081,4140.65234375,4081,37.08289337158203,111.65936547235908,37.08289337158203,1.2118322047172114e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.011315107345581055,4096,4096,3.7667171955108643,5.908784801237032,1.137686014175415,6.126888751983643,3.6263417710654147,1.5686828860629787,model.layers.6.self_attn.k_proj,4080,4230.013671875,4080,37.041015625,114.19810176641181,37.041015625,1.1872341929120012e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.0331001877784729,4096,4096,5.552216529846191,3.1170039772851292,1.1573207378387451,4.0569024085998535,3.2072903437969864,0.5613981300133979,model.layers.6.self_attn.v_proj,4081,1611.7227783203125,4081,3.6424880027770996,442.47854134083775,3.6424880027770996,1.1083961908298079e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.022040635347366333,4096,4096,4.938600540161133,5.928568369311312,1.1523652076721191,5.932133197784424,3.185983510212554,1.200455133210243,model.layers.6.self_attn.o_proj,4079,1534.5587158203125,4079,15.86555004119873,96.7226923639874,15.86555004119873,1.1320930752845015e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.029240667819976807,11008,4096,3.763411521911621,6.806694698918642,1.180380940437317,6.895774841308594,3.8789694107381294,1.8086501195227218,model.layers.6.mlp.gate_proj,4096,7567.7958984375,4096,64.36505126953125,117.57616515750216,64.36505126953125,0.03880539909005165,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.036402106285095215,11008,4096,8.666447639465332,7.585718039847898,1.1917959451675415,8.291068077087402,3.8081706042033905,0.8752972792801517,model.layers.6.mlp.up_proj,4096,6429.40234375,4096,7.504076957702637,856.7879007624614,7.504076957702637,0.03708629682660103,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.022369742393493652,4096,11008,6.481823444366455,8.742958443153782,1.1873373985290527,8.756950378417969,3.808103314662285,1.348842423462266,model.layers.6.mlp.down_proj,4096,6428.40625,4096,22.327619552612305,287.9127456848791,22.327619552612305,0.06736058741807938,45088768
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.013348579406738281,4096,4096,3.015921115875244,4.828232935718065,1.1287420988082886,5.334743976593018,3.6151274333611187,1.600914861566886,model.layers.7.self_attn.q_proj,4082,4122.1845703125,4082,39.89466857910156,103.32670296882392,39.89466857910156,1.1452561921032611e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.016340643167495728,4096,4096,3.5095560550689697,5.728399906752875,1.1367685794830322,5.94992208480835,3.620384096899966,1.6322292098680558,model.layers.7.self_attn.k_proj,4082,4172.38232421875,4082,42.87747573852539,97.30942067725005,42.87747573852539,1.0716777069319505e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.03828313946723938,4096,4096,5.640878677368164,3.1523187860023443,1.157242774963379,4.1119914054870605,3.2234132584153925,0.5588347075518216,model.layers.7.self_attn.v_proj,4080,1672.6815185546875,4080,3.621051549911499,461.93253409926433,3.621051549911499,1.0421901606605388e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.035136640071868896,4096,4096,5.405912399291992,6.077588643915022,1.153422236442566,6.081358909606934,3.204283898945679,1.1242484515122737,model.layers.7.self_attn.o_proj,4080,1600.60400390625,4080,13.31215763092041,120.23625683251343,13.31215763092041,1.0408054549770895e-05,16777216
DreamGallery/Qwen-Qwen1.5-7B-1718998496,True,Qwen/Qwen1.5-7B,0.022671550512313843,11008,4096,3.3035645484924316,6.294453820273925,1.1775753498077393,6.387452125549316,3.8838852440392637,1.9053521515559226,model.layers.7.mlp.gate_proj,4096,7653.943359375,4096,80.41779327392578,95.17723687472375,80.41779327392578,0.009738844819366932,45088768
